"#","ID","Is excluded","Start date","End date","Alter","männlich-Geschlecht","weiblich-Geschlecht","keine Angaben-Geschlecht","Dozent/in-Was ist Ihr Tätigkeitsbereich an der Universität Regensburg?","Bedienstete/r-Was ist Ihr Tätigkeitsbereich an der Universität Regensburg?","Student/in-Was ist Ihr Tätigkeitsbereich an der Universität Regensburg?","Kein Mitglied der Universität-Was ist Ihr Tätigkeitsbereich an der Universität Regensburg?","RZ-Passwort ändern - Card Sorting","RZ-Konto - Card Sorting","verfügbare Drucker - Card Sorting","WebPrint - Card Sorting","Geräteregistrierung - Card Sorting","Zugang zum Email Account - Card Sorting","RZ-Account mit Smartphone verbinden - Card Sorting","persönliche Homepage  - Card Sorting","Benutzerverwaltung - Card Sorting","CIP-Pool Informationen - Card Sorting","Content Management System Imperia - Card Sorting","Drucker Information - Card Sorting","E-Mails versenden und empfangen  - Card Sorting","FAQ - Card Sorting","Formulare und Anträge - Card Sorting","Infostand - Card Sorting","Internet im Wohnheim - Card Sorting","erweiterter IT Support - Card Sorting","Netzlaufwerke und Dateidienste (z.B. Netstorage)  - Card Sorting","RZ-Passwort vergessen - Card Sorting","VPN (Virtual Private Network) - Card Sorting","Wlan Nutzung der Universität Regensburg - Card Sorting","Workgroupmanager (Benutzerverwaltung der einzelnen Lehrstühle)  - Card Sorting","Softwarebeschaffung über die Universität Regensburg - Card Sorting","Windows für Mitarbeiter und Studierende  - Card Sorting","Software für Windows - Card Sorting","Linux - Card Sorting","MS Office - Card Sorting","Softwareangebot für Studierende  - Card Sorting","Auflistung aller downloadbarer Software (Softwarekatalog) - Card Sorting","Softwaredokumentation - Card Sorting","Empfohlene Apps der Uni Regensburg - Card Sorting","Rabattaktion beim Kauf von Apple-Produkten  - Card Sorting","Einkauf von Hardware  - Card Sorting","Lieferservice von Hardware  - Card Sorting","Reparatur-Service für Hardware  - Card Sorting","Geräteausleihe - Card Sorting","Schadensmeldungen von Rechnern und Geräten in CIP-Pools - Card Sorting","CIP-Pool-Reservierung - Card Sorting","Computergestütze Prüfungen  - Card Sorting","GRIPS  - Card Sorting","IT-Fortbildung für Bedienstete  - Card Sorting","Videoplattform/Mediathek der Universtität Regensburg  - Card Sorting","IT-Ausbildung für Studenten  - Card Sorting","Aufzeichnungen von Vorlesungen - Card Sorting","Weiterbildung im Bereich Mediengestaltung (NiceDesign4KMU)  - Card Sorting","Vorlesungen in der Mittagspause (Science@Lunch) - Card Sorting","Speichermöglichkeiten der Universität Regensburg  - Card Sorting","Datennetz - Card Sorting","Digitale Zertifikate - Card Sorting","Spamquarantäne - Card Sorting","Groupwise (Mailservice) - Card Sorting","Fax - Card Sorting","Formularscannservice  - Card Sorting","NTP-Zeitserver - Card Sorting","Scientific Computing und High Performance Computing (Athene)  - Card Sorting","Videokonferenz - Card Sorting","Virenscanner - Card Sorting","Virtualisierung von Desktop PCs - Virtuelle Maschine  - Card Sorting","Webdienste des Rechenzentrums  - Card Sorting","automatisierte Windows-Installation - Card Sorting","Windows Update Dienst - Card Sorting","Linux Installationsdienst - Card Sorting","Kontakt - Card Sorting","Ausbildung am Rechenzentrum - Card Sorting","Mitarbeiter - Card Sorting","Anfahrt und Lagepläne - Card Sorting","Stellenausschreibung - Card Sorting","Newsletter des Rechenzentrums - Card Sorting","Organisation und Aufbau des Rechenzentrums  - Card Sorting","Jahresberichte - Card Sorting","Berichte zur Verwendung von Studienbeiträgen - Card Sorting","Rechtliches (z.B. Benutzerordnung) - Card Sorting","Webserver-Dokumentation - Card Sorting",
1,"146809","false","25.08.15 11:39","25.08.15 14:20","22","1","0","0","0","0","1","0","RZ Profil","RZ Profil","Hardware","RZ Dienste","RZ Profil","RZ Profil","RZ Profil","RZ Profil","RZ - Team","Support","Software","Hardware","RZ Profil","RZ Dienste","RZ Dienste","Support","RZ Profil","Support","Hardware","RZ Profil","RZ Dienste","RZ Dienste","RZ Dienste","Software","Software","Software","Software","Software","Software","Software","Software","Support","Software","Hardware","Hardware","Support","Hardware","Support","RZ Profil","RZ Dienste","RZ Profil","RZ Dienste","RZ Dienste","RZ Dienste","RZ Dienste","RZ Dienste","RZ Dienste","RZ Dienste","RZ - Team","Support","RZ Profil","RZ Profil","Hardware","RZ Dienste","Hardware","Hardware","RZ Dienste","RZ Dienste","Support","RZ Dienste","Software","Software","Software","RZ - Team","RZ Dienste","RZ - Team","RZ - Team","RZ - Team","RZ Dienste","RZ - Team","RZ - Team","RZ - Team","RZ Dienste","RZ Dienste",
2,"146973","false","28.08.15 11:21","28.08.15 11:36","22","1","0","0","0","0","1","0","Mein RZ-Account","Mein RZ-Account","Drucken","Drucken","WLAN","E-Mail","Mein RZ-Account","Mein RZ-Account","Mein RZ-Account","CIP-Pools","Anleitungen und Dokumentationen","Drucken","E-Mail","Über das Rechenzentrum","Formulare und Formularscannservice","Über das Rechenzentrum","Softwaredienste des Rechenzentrums","Softwaredienste des Rechenzentrums","Speicherdienste","Mein RZ-Account","Softwaredienste des Rechenzentrums","WLAN","Workgroupmanager","Softwarebeschaffung","Softwarebeschaffung","Softwarebeschaffung","Betriebssysteme","Softwarebeschaffung","Softwarebeschaffung","Softwarebeschaffung","Anleitungen und Dokumentationen","Über das Rechenzentrum","Hardwarebeschaffung","Hardwarebeschaffung","Hardwarebeschaffung","Hardwarebeschaffung","Hardwarebeschaffung","CIP-Pools","CIP-Pools","Veranstaltungen des Rechenzentrums","Softwaredienste des Rechenzentrums","Veranstaltungen des Rechenzentrums","Softwaredienste des Rechenzentrums","Veranstaltungen des Rechenzentrums","Softwaredienste des Rechenzentrums","Veranstaltungen des Rechenzentrums","Veranstaltungen des Rechenzentrums","Speicherdienste","WLAN","WLAN","Softwaredienste des Rechenzentrums","E-Mail","Über das Rechenzentrum","Formulare und Formularscannservice","Softwaredienste des Rechenzentrums","Veranstaltungen des Rechenzentrums","Softwaredienste des Rechenzentrums","Softwaredienste des Rechenzentrums","Softwaredienste des Rechenzentrums","Softwaredienste des Rechenzentrums","Betriebssysteme","Betriebssysteme","Betriebssysteme","Über das Rechenzentrum","Über das Rechenzentrum","Über das Rechenzentrum","Über das Rechenzentrum","Über das Rechenzentrum","Über das Rechenzentrum","Über das Rechenzentrum","Über das Rechenzentrum","Über das Rechenzentrum","Über das Rechenzentrum","Anleitungen und Dokumentationen",
3,"147122","false","01.09.15 09:13","01.09.15 09:46","24","0","1","0","0","0","1","0","RZ-Account","RZ-Account","Drucken","Drucken","Internet an der UR","E-Mail","RZ-Account","Bildung","RZ-Account","CIP-Pool","Literatur","Drucken","E-Mail","FAQ","Formulare","Dienstleistungen","Internet an der UR","Dienstleistungen","Datenlaufwerke","RZ-Account","Software","Internet an der UR","Workgroupmanager","Software","Software","Software","Software","Software","Software","Software","Literatur","Software","Einkaufen von Hardware","Einkaufen von Hardware","Dienstleistungen","Dienstleistungen","Dienstleistungen","CIP-Pool","CIP-Pool","Bildung","Bildung","Bildung","Datenlaufwerke","Bildung","Bildung","Bildung","Bildung","Datenlaufwerke","Internet an der UR","Literatur","Software","E-Mail","FAX","Formulare","Software","Software","Software","Software","Software","Dienstleistungen","Software","Software","Software","Über das Rechenzentrum","Über das Rechenzentrum","Dienstleistungen","Über das Rechenzentrum","Über das Rechenzentrum","Dienstleistungen","Über das Rechenzentrum","Über das Rechenzentrum","Über das Rechenzentrum","Über das Rechenzentrum","Literatur",
4,"147125","false","01.09.15 10:21","01.09.15 10:48","22","1","0","0","0","0","1","0","Mein RZ-Account","Mein RZ-Account","Drucker & Fax","Serverdienste","Mein RZ-Account","E-Mail","Mein RZ-Account","Mein RZ-Account","Mein RZ-Account","CIP-Pools","Support und Hilfe","Drucker & Fax","E-Mail","Support und Hilfe","","Support und Hilfe","WLAN und Internetzugang","Support und Hilfe","Serverdienste","Mein RZ-Account","Serverdienste","WLAN und Internetzugang","","Software und Betriebssysteme","Software und Betriebssysteme","Software und Betriebssysteme","Software und Betriebssysteme","Software und Betriebssysteme","Software und Betriebssysteme","Software und Betriebssysteme","Software und Betriebssysteme","","Software und Betriebssysteme","Hardware","Hardware","Hardware","Hardware","CIP-Pools","CIP-Pools","Unterstützung für Dozenten","Mein RZ-Account","IT-Ausbildung und Weiterbildung","","IT-Ausbildung und Weiterbildung","Unterstützung für Dozenten","IT-Ausbildung und Weiterbildung","IT-Ausbildung und Weiterbildung","Serverdienste","Serverdienste","","E-Mail","E-Mail","Drucker & Fax","","Serverdienste","Software und Betriebssysteme","","E-Mail","","","Software und Betriebssysteme","Software und Betriebssysteme","Software und Betriebssysteme","Allgemeines zum RZ","Allgemeines zum RZ","Allgemeines zum RZ","Allgemeines zum RZ","Allgemeines zum RZ","Allgemeines zum RZ","Allgemeines zum RZ","Allgemeines zum RZ","Allgemeines zum RZ","Allgemeines zum RZ","Serverdienste",
5,"147126","false","01.09.15 10:33","01.09.15 10:52","22","0","1","0","0","0","1","0","Quick Links für Studierende","Quick Links für Studierende","Hardware","RZ stuff...","für Studierende...","Quick Links für Studierende","für Studierende...","für Studierende...","must have, interessiert aber niemanden","CIP-Pool","What the...??","Quick Links für Studierende","für Studierende...","Quick Links für Studierende","must have, interessiert aber niemanden","Quick Links für Studierende","für Studierende...","must have, interessiert aber niemanden","RZ stuff...","Quick Links für Studierende","RZ stuff...","für Studierende...","must have, interessiert aber niemanden","Software","Software","Software","Software","Software","Software","Software","Software","kann man haben, muss man aber nicht.","Bullshit","Hardware","Hardware","Hardware","Hardware","CIP-Pool","CIP-Pool","für Studierende...","Quick Links für Studierende","kann man haben, muss man aber nicht.","RZ stuff...","für Studierende...","für Studierende...","kann man haben, muss man aber nicht.","für Studierende...","für Studierende...","CIP-Pool","RZ stuff...","Software","Quick Links für Studierende","must have, interessiert aber niemanden","RZ stuff...","What the...??","What the...??","RZ stuff...","Software","What the...??","RZ stuff...","Software","Software","Software","must have, interessiert aber niemanden","kann man haben, muss man aber nicht.","must have, interessiert aber niemanden","must have, interessiert aber niemanden","kann man haben, muss man aber nicht.","kann man haben, muss man aber nicht.","kann man haben, muss man aber nicht.","must have, interessiert aber niemanden","kann man haben, muss man aber nicht.","must have, interessiert aber niemanden","RZ stuff...",
6,"147184","false","02.09.15 15:22","02.09.15 15:41","22","0","1","0","0","0","1","0","Kategorie 0","Kategorie 0","Kategorie 11","Kategorie 14","Kategorie 0","Kategorie 10","Kategorie 0","Kategorie 7","Kategorie 0","Kategorie 14","","Kategorie 11","Kategorie 10","Kategorie 7","","Kategorie 7","Kategorie 3","Kategorie 0","Kategorie 14","Kategorie 0","Kategorie 14","Kategorie 3","Kategorie 4","Kategorie 1","Kategorie 15","Kategorie 15","Kategorie 15","Kategorie 15","Kategorie 1","Kategorie 1","","","","Kategorie 8","Kategorie 8","Kategorie 8","","","Kategorie 14","","Kategorie 14","Kategorie 16","Kategorie 14","Kategorie 16","Kategorie 6","","Kategorie 6","","Kategorie 5","Kategorie 9","","Kategorie 10","Kategorie 7","","Kategorie 2","","Kategorie 6","Kategorie 13","","Kategorie 5","Kategorie 15","Kategorie 15","Kategorie 15","Kategorie 7","Kategorie 16","Kategorie 12","Kategorie 7","Kategorie 12","","Kategorie 7","Kategorie 12","","Kategorie 7","",
7,"147301","false","06.09.15 12:17","06.09.15 12:43","26","1","0","0","0","0","1","0","Mein RZ-Account","Mein RZ-Account","Drucker","CIP-Pools","Hardware und Geräte","E-Mail","Mein RZ-Account","Mein RZ-Account","Benutzerverwaltung","CIP-Pools","Support und Hilfe","Drucker","E-Mail","Support und Hilfe","Support und Hilfe","Support und Hilfe","WLAN und Internetzugang","Support und Hilfe","Serverdienste","Mein RZ-Account","WLAN und Internetzugang","WLAN und Internetzugang","Benutzerverwaltung","Software","Betriebssysteme","Software","Betriebssysteme","Software","Software","Software","Software","Support und Hilfe","Betriebssysteme","Hardware und Geräte","Hardware und Geräte","Hardware und Geräte","Hardware und Geräte","CIP-Pools","CIP-Pools","Unterstützung von Kursen","Mein RZ-Account","IT-Aus- und Fortbildung","Unterstützung von Kursen","IT-Aus- und Fortbildung","Unterstützung von Kursen","IT-Aus- und Fortbildung","""Verschiendes""","Serverdienste","Serverdienste","""Verschiendes""","E-Mail","E-Mail","Hardware und Geräte","Support und Hilfe","Serverdienste","""Verschiendes""","""Verschiendes""","Software","""Verschiendes""","Über das RZ","Betriebssysteme","Betriebssysteme","Betriebssysteme","Über das RZ","Über das RZ","Über das RZ","Über das RZ","Über das RZ","Über das RZ","Über das RZ","Über das RZ","Über das RZ","Über das RZ","Serverdienste",
8,"147302","false","06.09.15 13:55","06.09.15 14:25","23","0","1","0","0","0","1","0","mein RZ-Account","mein RZ-Account","Hardware und Service","Webdienste des RZ","mein RZ-Account","mein RZ-Account","mein RZ-Account","Webdienste des RZ","Verwaltung","CIP-Pools","Keine Ahnung","Hardware und Service","mein RZ-Account","Sonstiges","Sonstiges","Das RZ","Hardware und Service","Hardware und Service","Keine Ahnung","mein RZ-Account","Webdienste des RZ","mein RZ-Account","Verwaltung","Software","Software","Software","Software","Software","Software","Software","Verwaltung","Software","Software","Hardware und Service","Hardware und Service","Hardware und Service","Hardware und Service","CIP-Pools","CIP-Pools","Webdienste des RZ","Webdienste des RZ","Aus- und Fortbildung im RZ","Webdienste des RZ","Aus- und Fortbildung im RZ","Webdienste des RZ","Aus- und Fortbildung im RZ","Webdienste des RZ","Verwaltung","Keine Ahnung","Webdienste des RZ","Keine Ahnung","Webdienste des RZ","Hardware und Service","Hardware und Service","Webdienste des RZ","Keine Ahnung","Webdienste des RZ","Software","Keine Ahnung","Webdienste des RZ","Software","Software","Software","Sonstiges","Aus- und Fortbildung im RZ","Das RZ","Das RZ","Das RZ","Das RZ","Das RZ","Das RZ","Das RZ","Sonstiges","Verwaltung",
9,"147303","false","06.09.15 14:36","06.09.15 14:51","26","1","0","0","0","0","1","0","Profil","Profil","Drucken","Drucken","Hardware","Email","Profil","Profil","Mitarbeiter","CIP-Pools","Dienste","Drucken","Email","Profil","Sonstiges","Rechenzentrum","Netzwerk","Dienste","Dienste","Profil","Dienste","Netzwerk","Rechenzentrum","Software","Software","Software","Software","Software","Software","Software","Software","Software","Hardware","Hardware","Hardware","Hardware","Hardware","Hardware","CIP-Pools","Studium","Studium","Rechenzentrum","Studium","Studium","Dienste","Studium","Studium","Dienste","Netzwerk","Netzwerk","Email","Email","Drucken","Drucken","Netzwerk","Dienste","Dienste","Dienste","Dienste","Dienste","Software","Software","Software","Rechenzentrum","Rechenzentrum","Rechenzentrum","Rechenzentrum","Rechenzentrum","News","Rechenzentrum","Rechenzentrum","Rechenzentrum","Rechenzentrum","Netzwerk",
10,"147308","false","06.09.15 19:46","06.09.15 20:17","25","1","0","0","0","0","0","1","Services für Studenten","Services für Studenten","Services für Studenten","Services für Studenten","Services für Studenten","Services für Studenten","Services für Studenten","Services und Dienste der Universität Regensburg","Mitarbeiter und Karriere","Services für Studenten","Mitarbeiter und Karriere","Berichte und Informationen","Kommunikation","Allgemeine Informationen","Services für Studenten","Berichte und Informationen","Services für Studenten","Services und Dienste der Universität Regensburg","Services für Studenten","Services für Studenten","Services für Studenten","Kommunikation","Mitarbeiter und Karriere","Software und Installation","Software und Installation","Software und Installation","Software und Installation","Software und Installation","Software und Installation","Software und Installation","Berichte und Informationen","Software und Installation","Software und Installation","Geräte und Hardware","Geräte und Hardware","Geräte und Hardware","Geräte und Hardware","Services und Dienste der Universität Regensburg","Services für Studenten","Vorlesungen und Prüfungen","Services für Studenten","Mitarbeiter und Karriere","Services für Studenten","Mitarbeiter und Karriere","Vorlesungen und Prüfungen","Mitarbeiter und Karriere","Vorlesungen und Prüfungen","Services und Dienste der Universität Regensburg","Services für Studenten","Services und Dienste der Universität Regensburg","Services für Studenten","Services für Studenten","Services und Dienste der Universität Regensburg","Services und Dienste der Universität Regensburg","Services und Dienste der Universität Regensburg","Berichte und Informationen","Kommunikation","Software und Installation","Services und Dienste der Universität Regensburg","Services und Dienste der Universität Regensburg","Software und Installation","Software und Installation","Software und Installation","Allgemeine Informationen","Mitarbeiter und Karriere","Mitarbeiter und Karriere","Allgemeine Informationen","Mitarbeiter und Karriere","Allgemeine Informationen","Allgemeine Informationen","Berichte und Informationen","Berichte und Informationen","Allgemeine Informationen","Berichte und Informationen",
